text,confidence,left,top,width,height
DATE,78,104,5,32,8
|.,50,154,0,22,26
PAPER,50,178,5,40,8
|,51,225,0,8,26
DURATION,79,556,0,63,24
TIME.,47,697,5,37,10
cove,54,181,17,33,10
pa,45,454,13,63,11
“,62,577,18,8,4
A,69,803,22,3,2
Fay,,33,78,31,55,13
|,50,159,40,1,2
Foods,47,234,32,77,9
and,50,266,21,19,32
(tie),40,318,32,183,17
Parsing,49,399,21,41,32
Session,,36,447,21,38,32
Th,59,556,32,16,9
—,64,683,21,6,32
0930,53,693,21,25,32
ire,51,720,21,22,32
bec,44,180,44,28,4
De,,41,558,43,41,8
‘Monday,,31,74,49,46,30
20°:.__|,31,126,49,46,30
nina,42,555,60,35,9
Time,47,631,60,43,15
Foe,42,661,49,13,30
paper,35,678,49,23,30
willbe,61,706,49,30,30
fay,,35,78,73,40,26
20s,52,123,66,21,37
|,51,226,69,6,30
Foods,87,236,69,26,30
and,91,266,69,18,30
3,85,334,80,3,9
|,69,226,89,4,39
Din,46,278,100,30,24
3,64,312,100,5,10
igs,40,327,100,30,18
Wat,41,366,89,30,39
PU,,33,173,157,45,15
pou:,45,173,170,44,12
|,57,225,178,7,34
Crop,69,237,178,20,34
nd,60,319,193,14,9
2,40,398,178,4,34
(Ema,33,407,178,29,34
|,96,224,195,5,30
Crop,92,236,195,21,30
and,63,316,195,16,30
I,44,399,206,2,9
|,84,804,217,2,3
FS,33,173,227,37,10
Thursday,,59,78,263,62,12
|,65,159,252,10,30
|,44,224,252,8,30
Animal,49,236,252,33,30
Husbandiy,31,276,252,48,30
Janamy,,42,78,265,40,30
2025,52,121,265,31,30
|,52,164,265,5,30
Animal,88,236,265,33,30
Husbandry,53,276,265,46,30
(Attcmative,37,329,265,55,30
A),94,391,276,8,12
1,40,404,276,3,9
|,82,225,300,1,6
Aine,36,234,298,35,9
ome,46,327,298,58,17
tata,45,479,301,55,5
|,55,159,341,1,2
POLE,36,173,334,38,9
Ea,36,294,334,33,15
on,41,397,336,18,8
Ges,,44,555,334,33,10
1,35,600,337,2,5
|,69,618,323,11,30
0830,39,633,334,26,9
1030,58,693,334,23,9
re,51,723,323,18,30
2025,45,121,336,31,30
|,58,164,336,5,30
PCLI2N,31,173,346,44,10
|,95,224,336,5,30
Marketing,59,236,336,48,30
|,51,613,336,16,30
1030,33,632,346,63,11
tre,33,663,336,13,30
—,51,683,336,6,30
1120,51,691,336,27,30
rx:,48,723,336,18,30
Principles,57,236,358,46,30
of,84,286,369,8,9
Cost,93,301,358,18,30
Accowaing2,45,321,369,111,12
Tha,37,555,369,21,9
|,46,613,373,1,4
be,36,663,369,13,10
—,32,683,374,5,2
PGI0S1,34,173,382,44,10
{|,37,214,372,15,30
Principles,74,236,372,46,30
af,79,286,382,8,9
Cost,93,301,372,18,30
4,59,381,383,3,8
{Objective},54,389,372,53,30
‘,73,504,382,3,7
the,70,557,372,19,30
530,66,640,372,18,30
bes,47,662,372,16,30
hes,63,720,372,20,30
